,3,,,No,,Next to elevator by walkway to ISC 3,,,,
,3,,,No,,In bio lounge around corner from elevator ,,,,
,3,,,No,,By bathrooms in ISC 3,,,,
,3,,,No,,Near ISC 3 east stairwell,,,,
,G,,,No,,By bathrooms in ISC 3,,,,
,G,,,No,,Near ISC east stairwell ,,,,
,G,,,No,,In ISC 1 lobby ,,,,
,G,,,,,,,,,
Health Center,1,37 16 16 ,76 42 53,Yes,Green,Health Center Waiting Room,,,,
Miller Hall (B School),1,37.266494,-76.718547,Yes,Green,"Graduate wing, across from 1023",,,,
,2,37.266465,-76.718449,No,,"Graduate wing, by elevator",,,,
,2,37.266028,-76.718441,No,,"Undergrad wing, across from 2041 academic affairs",,,,
,1,37.266081,-76.718517,No,,"Undergrad wing, across from women's restroom and 1068",,,,
,B,37.266303,-76.718369,No,,"Undergrad side, across from 0006",,,,
,B,37.266469,-76.718407,No,,"Grad side, across from elevator",,,,
Adair Hall,2,37.268522,-76.718065,Yes,Green,Across from 203,,,,
,1,37.268522,-76.718065,No,,Across from 112,,,,
,B,37.268681,-76.718109,No,,Next to women's locker room,,,,
,4,37.268699,-76.718082,No,,Next to dance studio,,,,
Small Hall,G,37.268681,-76.717246,No,,By elevator 1,,,,
,G,37.268777,-76.716786,No,,"Next to stair B, across from 024",,,,
,1,37.268736,-76.716666,No,,Across from kitchen,,,,
,1,37.268791,-76.716814,Yes,Green,Across from men's bathroom,,,,
,1,37.268857,-76.717106,No,,Across from elevator 2,,,,
,1,37.268781,-76.717138,No,,Nook across from elevator 1,,,,
,2,37.268781,-76.717138,No,,Nook across from elevator 1,,,,
,2,37.268791,-76.716814,No,,Across from men's bathroom,,,,
,2,37.268857,-76.717106,No,,Across from elevator 2,,,,
,3,37.268791,-76.716814,Yes,Green,Across from men's bathroom,,,,
,3,37.268857,-76.717106,No,,Across from elevator 2,,,,
Jones Hall,1,37.268036,-76.716705,No,,"Office area, across from 114",,,,
,1,37.26813,-76.716978,Yes,Green,Across from 107,,,,
,2,37.268168,-76.716978,No,,Next to tech support,,,,
,2,37.268036,-76.716705,Yes,Green,Office area,,,,
,3,37.268036,-76.716705,Yes,Green,Office area,,,,
,3,37.268168,-76.716978,Yes,Yellow,Next to 301,,,,
,B,37.268168,-76.716978,Yes,Green,Across from rm 6,,,,
,B,37.267992,-76.71665,No,,Across from muscarelle entrance,,,,
Boswell Hall,G,37.26742,-76.716918,Yes,Green,Across from 37,,,,
,1,37.26742,-76.716918,Yes,Green,Across from 139,,,,
,2,37.26742,-76.716918,No,,Across from 238,,,,
,3,37.26742,-76.716918,No,,Across from 341,,,,
Andrews Hall,1,37.268617,-76.715567,Yes,RED!!,Across from 101,,,,
,1,37.268631,-76.715186,No,,Next to sculpture studio,,,,
,2,37.268631,-76.715186,"Yes, bottle filling only",Green,Across from 222,,,,
,2,37.268665,-76.715354,No,,Across from 209,,,,
Swem Library,1,37.269755,-76.716276,Yes,Green,Information commons by women's bathroom,,,,
,1,37.269672,-76.716451,No,,Information commons by men's bathroom,,,,
,1,37.270081,-76.715711,Yes,Green,Next to special collections,,,,
,2,37.270081,-76.715711,No,,By special collections stair,,,,
,2,37.269833,-76.716293,Yes,Green,By stack HD1751,,,,
,3,37.270081,-76.715711,No,,By special collections stair,,,,
,3,37.269833,-76.716293,Yes,Green,By stack PS1331,,,,
,B,37.270081,-76.715711,No,,By special collections stair,,,,
,B,37.269516,-76.71617,Yes,Green,To Botetourt statue's back,,,,
,,,,,,,,,,
Law Library ,1,37.265042,-76.705012,No,,across from room 119,,,,
,1,37.265288,-76.705095,No,,across from mcglothlin court room,,,,
,1,37.265288,-76.705095,Yes,Green,across from penny commons,,,,
,2,37.265436,-76.704776,Yes,Green,next to penny and young court room,,,,
,2,37.265436,-76.704776,Yes,Green,next to room 245,,,,
,2,37.265161,-76.704809,No,,next to 201,,,,
,2,37.265161,-76.704809,No,,next to 226,,,,
Rec Center,1,37.27437,-76.722102,yes,green,by the elevator ,,,,
